id,Language_Code,Domain,Text_Generated,Model_Identifier,Output_Length,Label,Timestamp,Language_Name
1,zu,civic_affairs,Ngaphezulu kwabantu abayi-5 000 abahlala emiphakathini eyahlukene basizakele ngohlelo olusha lokuhlinzekwa kwemitholampilo ehambahambayo kulezi zinyanga ezimbili ezidlule. Lolu hlelo luhlose ukusondeza izinsiza zezempilo ezisezingeni eliphezulu kubantu abahlala ezindaweni zasemakhaya ikakhulukazi labo abanobunzima bokufika emadolobheni amakhulu lapho kukhona khona izibhedlela. Izakhamuzi zakulezi zindawo bezilokhu zikhala isikhathi eside ngenxa yokushoda kwezithuthi zomphakathi eziziyisa ezikhungweni zezempilo eziseduze kakhulu nezindlu zabo ezindaweni zasemakhaya. Manje lolu hlelo olusha selulethe usizo olukhulu ngoba abantu sebethola imithi yabo yezifo ezahlukene ngaphandle kokukhokha izindleko ezisindayo zokuhamba amabanga amade. Izikhulu zikamasipala ziqinisekise ukuthi lolu hlelo luzoqhubeka unyaka wonke ukunakekela wonke amalungu omphakathi adinga lolu sizo olusemqoka kakhulu emimpilweni yawo yansuku zonke. Uhlelo luhlanganisa nokuhlolwa kwezifo ezifana nomfutho wegazi ophezulu nesifo sikashukela okuyizifo ezihlasela abantu abaningi kulezi zinsuku ezifundazweni ezahlukene zezwe lethu.,gemini-2.5-pro,122,machine,2026-05-21T22:02:59.874192,isiZulu
2,zu,civic_affairs,Emaphandleni asezifundazweni ezahlukene kuqale uhlelo olubanzi lokulungiswa kwemigwaqo emikhulu exhmanisa imizana eminingi nezikhungo zezohwebo ezisemadolobheni amancane. Lokhu kulungiswa kwemigwaqo kulandela izikhalazo eziningi ezivela kubashayeli bezimoto nabantu abahamba ngezinyawo abathi le migwaqo corresponds ayisaseleki ngenxa yemigodi emikhulu. Uhlelo lolu luhlinzeka ngamathuba emisebenzi eminingi entsha kubantu abasha abangasebenzi abahlala kuleyo miphakathi ethintekayo kulolu hlelo lwentuthuko. Ngaphandle kokwenza ngcono ingqalasizinda yezokuthutha lolu hlelo luletha ithemba elisha kwezoqoqosho lwasemakhaya ngokwenza ukuba kube lula ukuthuthwa kwempahla. Izinkampani ezincane zendawo nazo zithole amathuba okwenza imisebenzi engaphansi kwale phrojekthi enkulu yentuthuko kamasipala wasendaweni. Umphakathi ukhuthazwe ukuba ubambisane nabasebenzi bomgwaqo ukuze umsebenzi uhambe ngokushesha nangendlela efanele ngaphandle kokubambezeleka okungenasidingo phakathi nalesi sikhathi sokwakha esibaluleke kangaka kuwo wonke umuntu okhathazekile.,gemini-2.5-pro,111,machine,2026-05-21T22:02:59.874284,isiZulu
3,zu,civic_affairs,Abahlali baseMthatha sebekhathele ukulinda izimpendulo mayelana nezinhlelo zokuthuthukiswa kwamanzi ahlanzekile emiphakathini yabo njengoba belokhu bebhekane nenkinga yokunqamuka kwamanzi iminyaka. Kulandela le nkinga iziphathimandla zikamasipala zihlangene nomphakathi ukudingida amasu amasha azosetshenziswa ukulungisa amaphayipi amadala adala ukuvuza kwamanzi amaningi nsuku zonke. Inkinga yamanzi ibaphazamise kakhulu abantu bakule ndawo ikakhulukazi izikole nemitholampilo emincane edinga amanzi ngaso sonke isikhathi ukuze isebenze ngendlela efanele. Uhlelo oluphuthumayo lokuthutha amanzi ngamaloli seluqalile ngenkathi kuza isixazululo esihlala njalo sokwakhiwa kwechibi elisha lokugcina amanzi amaningi. Izakhamuzi zamukele lolu hlelo lwamaloli nakuba zicela ukuba umsebenzi wokulungisa amaphayipi ushisekiswe ngamandla amakhulu ukuze konke kubuyele kwayizolo. Kamasipala ubonge kakhulu ukubekezela komphakathi ngesikhathi kubhekana nalezi zinselelo ezinkulu zengqalasizinda edinga izimali eziningi ukuba ilungiswe ngokuphelele ezindaweni zonke zomphakathi.,gemini-2.5-pro,114,machine,2026-05-21T22:02:59.874315,isiZulu
4,zu,civic_affairs,Izindlela ezifile kanye namanzi angcolile kulezi zindawo zasemijondolo sekudale ukuba iziphathimandla zithathe izinyathelo ezinqala zokuhlanza indawo yonke ngenhloso yokuvikela impilo yomphakathi jikelele. Uhlelo lokuhlanza imvelo oluqalwe kuleli sonto luholwa ngamalungu omphakathi ngokwawo abambisene nezisebenzi zikamasipala ezengamele ezempilo nemvelo kulezo zindawo ezithintekile kakhulu. Kunqwabelana kukadoti ezitaladini kukhonjwe njengenye yezinto ezidala izifo eziningi kubantwana abancane abadlala kulezi zindawo ezisondeduze nemizi yabo. Ngo-opharetha bama-skhiphu bazoletha izitsha ezinkulu zokulahla udoti ukuze abantu bangabe besalahla izibi noma kuphi ezindaweni zomphakathi ezivulekile. Uhlelo lolu luzophinde lufundise abantu abahlala kulezi zindawo ngendlela efanele yokuhlunga udoti ozosetshenziswa kabusha ukwenza izinto ezahlukene zokusiza imindeni. Isikhulu esiphezulu sezempilo siqinisekise ukuthi lolu mkhankaso uzoba yinto eqhubekayo ukugcina imvelo ihlanzekile ungalokhu uvalwa ngezikhathi ezithile zomnyaka njengoba bekunjalo esikhathini esidlule.,gemini-2.5-pro,117,machine,2026-05-21T22:02:59.874341,isiZulu
5,zu,civic_affairs,"Ngemuva kwehlelo lokuhlangana komphakathi nezikhulu zikamasipala kumenyezelwe ukuthi kuzovulwa isikhungo esisha somphakathi esizohlinzeka ngezinsiza eziningi ezahlukene zikahulumeni endaweni eyodwa elula ukufikeleleka. Isikhungo lesi sizofaka ngaphansi kwaso amahhovisi oMnyango wezeKhaya, awezeMisebenzi kanye nendawo lapho intsha ingathola khona ulwazi ngezifundo namathuba emisebenzi ekhona ezweni. Umphakathi ukhombise ukuthokoza okukhulu ngalesi sinqumo ngoba sizobasiza kakhulu ekugcineni isikhathi nemali ebingachithwa ngokuya emadolobheni amakhulu amade. Intsha yakule ndawo izokwazi ukusebenzisa i-inthanethi yamahhala kulesi sikhungo ukufuna imisebenzi nokufaka izicelo zokufunda emanyuvesi ahlukene ezwe lonke. Kwakhiwa kwalesi sikhungo kuzoqala ngokushesha kule nyanga ezayo kulandela ukuphothulwa kwezinhlelo zokwabiwa kwezimali ezidingekayo kule phrojekthi yomphakathi. Lo mklamo uzobuye unikeze amathuba emisebenzi yesikhashana kubantu abaningi bendawo abazobamba iqhaza ekwakhiweni kwaso kusukela ekuqaleni kuya ekupheleni kwemisebenzi yonke yezandla.",gemini-2.5-pro,115,machine,2026-05-21T22:02:59.874369,isiZulu
6,zu,civic_affairs,"Ekhuluma emhlanganweni womphakathi obubanjelwe ehholo ledolobha imenenja kamasipala ichaze kabanzi ngohlelo olusha lwezimali oluzobandakanya wonke amalungu omphakathi ekuthatheni izinqumo zentuthuko. Leli su elisha lokwabiwa kwezimali zentuthuko lihlose ukwenza ukuba izidingo ezisondelene kakhulu nabantu kube zona ezibekwa phambili ngaso sonke isikhathi sokusebenza. Abahlali bacelwe ukuba baphakamise amaphrojekthi abona ukuthi aqakathekile kakhulu njengokwakhiwa kwezinkulisa, izikhungo zentsha kanye nokufakwa kwezibani ezitaladini zendawo ukulwa nobugebengu. Kamasipala uzobamba eminye imihlangano kulezi zigodi ezahlukene ukuze kutholakale imibono yabantu abaningi ngangokunokwenzeka ngaphambi kokuba ibhajethi iphasiswe ngokusemthethweni. Indlela endala yokuthatha izinqumo ngaphandle kokubonisana nabantu igxekiwe ngoba ivame ukuletha izinto abantu abangazidingi ngaleso sikhathi esithile sokuthuthuka. Umphakathi uzwakalise ukuyisekela le ndlela entsha futhi uthe uzibophezela ukuba khona kuyo yonke imihlangano ezobizwa ngezikhathi ezizayo ukuxoxa ngezindaba zentuthuko.",gemini-2.5-pro,117,machine,2026-05-21T22:02:59.874395,isiZulu
7,zu,civic_affairs,"Ngaphezulu kwezinkulungwane ezimbili zabantu abasha bhalisele uhlelo olusha lokuqeqeshwa ngezamakhono emisebenzi yezandla oluxhaswe ngezimali ngumasipala wesifunda ngenhloso yokunciphisa ukuswela kwemisebenzi. Lolu hlelo luphawula isinyathelo esikhulu esibhekiswe ekunikezeni intsha amathuba amahle okuziphilisa ngokwakha izinkampani ezincane noma ngokuthola imisebenzi ezimbonini zendawo ezinkulu. Abafundi abangenile kulolu hlelo bazoletha usizo olukhulu emiphakathini yabo ngoba bazoqeqeshelwa imisebenzi efana nokushisela, amapulangwe, ukulungisa amagesi kanye nokwakha ngezitini. Izikhungo zemfundo yezandla zendawo zibambisene nohulumeni ukuhlinzeka ngalolu qeqesho oluzothatha isikhathi esiyizinyanga eziyisithupha zomsebenzi onzima kodwa ovuzayo. Kulindeleke ukuba emva kwalesi sikhathi abafundi bathole izitifiketi ezivunyelwe ngokusemthethweni ezizobasiza ukuba bangene emakethe yezabasebenzi kalula. Abazali babafundi babonge kakhulu lo mklamo omuhle bethi uzobasiza kakhulu abantwana babo ukuba bangalibali yizinto ezingalungile ezitaladini ngenxa yokuhlala bengenzi lutho.",gemini-2.5-pro,114,machine,2026-05-21T22:02:59.874420,isiZulu
8,zu,civic_affairs,"Emaphethelong amadolobha amakhulu kunezinselelo eziningi ezithinta ukutholakala kwezindlu zomphakathi ezisezingeni elamukelekile ngenxa yokwanda okusheshayo kwesibalo sabantu abafudukela kulezi zindawo ezintsha. Uhulumeni useqalise iphrojekthi enkulu yokwakhiwa kwezindlu zoxhaso ezizohlomulisa imindeni eminingi ebihlala ezindaweni ezingalungile nezisengozini ngezikhathi zezikhukhula nemililo emibi. Lolu hlelo lokwakha luzohlanganisa nokufakwa kwengqalasizinda eyisisekelo njengemigwaqo yetiyela, amaphayipi amanzi ahlanzekile kanye nezixhumi zikagesi ezisemthethweni emizini yonke emisha ezokwakhiwa. Abantu abazohlomula kulezi zindlu bakhethwe ngokulandela uhlu lwabantu abalinde izindlu isikhathi eside ukwenza isiqiniseko sokuthi kutholwa ubulungiswa nenkohlakalo iyaphela. Izikhulu zezindlu ziveze ukuthi zizosebenzisana nezinkampani ezakha ngesivinini nangekhwalithi ephezulu ukuze abantu bakwazi ukungena ezindlini zabo ngesikhathi esivunyelwene ngaso phakathi kwabo nabomklamo. Umphakathi ukhonjiswe izinhlelo zokwakha futhi wavunyelwa ukuba ubeke imibono yawo mayelana nokuhleleka kwezindawo zabo zokuhlala ezintsha.",gemini-2.5-pro,115,machine,2026-05-21T22:02:59.874448,isiZulu
9,zu,civic_affairs,Abahlali baseWard 12 ezinsukwini ezidlule bajabulele ukuvulwa ngokusemthethweni kwepaki yomphakathi entsha entsha eyenzelwe ukuba kube indawo ephephile yokudlala yezingane nokuzivocavoca kwabantu abadala. Le paki eyakhiwe endaweni ebiye yaziwa ngokuba yindawo yokulahla udoti ngokungemthethetho isiguqule ukubukeka kwayo yonke le ndawo ebihlezi inukela abantu kabi. Masipala usebenzise izimali ezikhethekile ukuthenga izinsiza zokudlala ezifana nama-swing nezindawo zokuhlala zomphakathi ngenkathi kutshalwa nezihlahla ezinhle eziletha umthunzi. Umphakathi uzibophezele ukulinda nokuphatha le ndawo ngendlela efanelekile ukugwema ukuba icekelwe phansi ngabantu abangafuni ukubona intuthuko ezindaweni zethu. Amaphisa omdabu kanye namalungu ezokuphepha omphakathi bazohlala bepatrola kule ndawo ukuze kuqinisekiswe ukuthi izingane zidlala ngokukhululeka ngaphandle kokwesaba abaphuli bomthetho. Lolu hlelo lokwakha amapaki luzoqhubeka nasezindaweni eziseduze ngenhloso yokwenza amalokishi ethu abe nezindawo ezinhle ezifanayo nezisemadolobheni amakhulu ezwe.,gemini-2.5-pro,117,machine,2026-05-21T22:02:59.874473,isiZulu
10,zu,civic_affairs,Izindlela ezintsha zokuxhumana phakathi kukamasipala nezakhamuzi zethulwe kuleli sonto ngenhloso yokwenza ngcono isikhathi esithathwayo ukulungisa izinkinga ezifana nokunqamuka kwemisebenzi kagesi nokuvuza kwamanzi. Lolu hlelo olubandakanya uhlelo lokuthumela imiyalezo elula kumakhalekhukhwini luzosiza abantu ukuba babike izinkinga ngokushesha futhi bathole nezinombolo zolwazi zokulandelela umsebenzi lowo owenziwayo. Phambilini abantu bebekhala kakhulu ngokuthi izingcingo zabo aziphendulwa emahgovisini amakhulu ezikhalazo okubenza bazizwe benganakekile neze nguhulumeni wabo wasendaweni. Manje ngalolu hlelo olusha isikhalazo somuntu ngamunye sizoya ngqo ethimbeni eliseduze labasebenzi bezobuchwepheshe ukuze bayolungisa inkinga leyo ngokushesha okukhulu. Kamasipala uqinisekise ukuthi abantu asebabadala abangakwazi ukusebenzisa lobu buchwepheshe bazolethwa usizo ngamahhovisi amancane asemiphakathini yabo aseduze lapho kungena khona abasizi bomphakathi. Le ndlela entsha yethenjwa kakhulu ukuthi izoletha ukukhanya nokuqeda ukungaboni ngaso linye phakathi kwezakhamuzi nezisebenzi zikahulumeni ezibhekele ezokusizwa kwabantu.,gemini-2.5-pro,121,machine,2026-05-21T22:02:59.874489,isiZulu
