id,Language_Code,Domain,Text_Generated,Model_Identifier,Output_Length,Label,Timestamp,Language_Name
1,xh,government,"Abahlali baseKapa nasezidolophini ezikufutshane bavakalise inkxalabo malunga nokuphuculwa kweenkonzo zamanzi emva kweentsuku ezininzi zokunqongophala kwamanzi kumakhaya. Urhulumente wasekhaya uthi iinkqubo zokulungisa imibhobho emidala ziyaqhubeka, ngelixa amaqela ezobunjineli esebenza ubusuku nemini ukuqinisekisa ukuba amanzi abuyiselwa ngokukhawuleza. Amagosa kamasipala athi le ngxaki ibangelwe kukudodobala kwezixhobo ezindala kunye nokunyuka kwemfuno yabemi. Abahlali bacelwa ukuba basebenzise amanzi ngobulumko ngexesha lokulungiswa, kwaye iinkonzo zokuhambisa amanzi ngeetanki ziyaqhubeka kwiindawo ezichaphazelekayo. Urhulumente uthe uza kuqhubeka nokunxibelelana noluntu ukuze kuqinisekiswe ukuba akukho mntu ushiywa ngaphandle kweziseko ezibalulekileyo. Amanyathelo okuqinisekisa uzinzo lwamanzi aqaliswe kwiiveki ezidlulileyo kwaye kulindeleke ukuba anike iziphumo ezibonakalayo kwiinyanga ezizayo.",chatgpt-4o,94,machine,2026-05-21T22:14:10.568451,isiXhosa
2,xh,public_policy,"Kwisigqibo esitsha esibhengezwe kwintlanganiso kawonke-wonke, urhulumente uchaze utshintsho kwimigaqo yokuhanjiswa kweenkonzo zoluntu ukuze kuphuculwe ukusebenza kwamasebe kamasipala. Esi sigqibo sijolise ekunciphiseni ukulibaziseka ekunikezelweni kweenkonzo ezifana nokuqokelelwa kwenkunkuma, ukulungiswa kweendlela, kunye nokuphendula izikhalazo zabemi. Abaphathi bathi iinkqubo ezintsha ziya kusebenzisa indlela edityanisiweyo yokulandelela izikhalazo ukuze kuqinisekiswe uxanduva olungcono. Uluntu lukhuthazwa ukuba luthathe inxaxheba kwiintlanganiso zoluntu ukuze lunike izimvo zalo. Urhulumente uthi le nkqubo iza kunceda ekwakheni ukuthembana phakathi kwabemi namasebe olawulo lwasekhaya, ngelixa kusomelezwa ukusebenza ngokufanelekileyo kweziseko zenkonzo.",chatgpt-4o,77,machine,2026-05-21T22:14:10.568817,isiXhosa
3,xh,municipal_services,"Izitalato ezininzi ezisemaphandleni zedolophu yaseGqeberha zifumene inkqubo entsha yokulungiswa kweendlela emva kokuba abemi bechaze ukonakala okukhulu okubangele ubunzima bokuhamba. Umasipala uthi amaqela okwakha asele eqalile ukugcwalisa imingxunya kunye nokuphucula iindlela eziphambili ezisetyenziswa mihla le. Le projekthi ijolise ekuphuculeni ukhuseleko lwabahambi ngeenyawo kunye nezithuthi, ngakumbi kwiindawo ezixakekileyo. Abahlali bavakalise ulwaneliseko oluthile kodwa bacela ukuba umsebenzi ugqitywe ngokukhawuleza ukuze kuthintelwe ukuxinana kwezimoto. Amagosa athi kukho ucwangciso olucacileyo lokuqinisekisa ukuba zonke iindawo ezichaphazelekayo ziyafikelelwa ngaphambi kokuphela konyaka.",chatgpt-4o,74,machine,2026-05-21T22:14:10.568866,isiXhosa
4,xh,civic_affairs,"Ngaphezulu kwabantu abaliwaka bathathe inxaxheba kwintlanganiso kawonke-wonke ebibanjelwe kwiholo yedolophu, apho bekuxoxwa khona ngemicimbi yophuhliso lwasekuhlaleni. Abahlali banikwe ithuba lokuveza izikhalazo zabo malunga nokungabikho kwezibane ezitalatweni kunye nokulibaziseka kokuqokelelwa kwenkunkuma. Amagosa kamasipala athe aqinisekisa ukuba ezi ngxaki ziya kufakwa phambili kwinkqubo yohlahlo lwabiwo-mali lwonyaka ozayo. Le ntlanganiso ikwajolise ekomelezeni intsebenziswano phakathi koluntu norhulumente wasekhaya. Abathathi-nxaxheba baceliwe ukuba baqhubeke nokubika iingxaki ukuze kuphuculwe iinkonzo.",chatgpt-4o,63,machine,2026-05-21T22:14:10.568888,isiXhosa
5,xh,government,"Ekhuluma kwinkomfa yeendaba, isithethi sikarhulumente sithe kukho inkqubela phambili ekuphunyezweni kweeprojekthi zokuphucula iziseko zophuhliso ezijolise ekudaleni amathuba emisebenzi. Ezi projekthi zibandakanya ukwakhiwa kwezikolo ezintsha, ukuphuculwa kwezibhedlele, kunye nokwandiswa kweenkonzo zamanzi. Urhulumente uthi le nkqubo iyinxalenye yesicwangciso esibanzi sokunciphisa intswela-ngqesho kunye nokuphucula umgangatho wobomi. Uluntu lukhuthazwa ukuba luthathe inxaxheba kwiinkqubo zokuqeqeshwa ezikhoyo ukuze lufumane izakhono ezintsha.",chatgpt-4o,55,machine,2026-05-21T22:14:10.568905,isiXhosa
6,xh,municipal_services,Umasipala waseThekwini ubhengeze inkqubo entsha yokuphucula ukuqokelelwa kwenkunkuma kumakhaya emva kwezikhalazo ezandileyo zabemi kwiindawo ezahlukeneyo. Le nkqubo iza kusebenzisa iishedyuli ezintsha kunye nezithuthi ezongeziweyo ukuze kuqinisekiswe ukuba inkunkuma iqokelelwa ngexesha elifanelekileyo. Amagosa athi le ndlela iza kunciphisa ukugcwala kweendawo zokulahla inkunkuma kunye nokuphucula ucoceko lwesixeko. Abahlali baceliwe ukuba basebenzisane namagosa ngokugcina inkunkuma kwiindawo ezichongiweyo. Urhulumente wasekhaya uthe uza kuqhubeka nokubeka iliso ukuze kuqinisekiswe impumelelo yale nkqubo.,chatgpt-4o,66,machine,2026-05-21T22:14:10.568921,isiXhosa
7,xh,civic_affairs,Abahlali baseRhawutini bavakalise inkxalabo malunga nokhuseleko emva kokunyuka kweziganeko zolwaphulomthetho kwezinye iindawo zedolophu. Amapolisa asekuhlaleni athe aqinisa ukugada kwiindawo ezichaphazelekayo kwaye aqhuba iiprojekthi zokubambisana noluntu ukuze kuncitshiswe ulwaphulomthetho. Iinkokeli zoluntu zikhuthaza abemi ukuba basebenzisane namapolisa ngokunika ulwazi olufanelekileyo. Urhulumente uthi izicwangciso ezongezelelweyo zokuphucula ukhuseleko loluntu zisemsebenzini kwaye ziya kubandakanya ukwandisa ukukhanya kwezitalato kunye neekhamera zokubeka iliso.,chatgpt-4o,56,machine,2026-05-21T22:14:10.568940,isiXhosa
8,xh,government,"Urhulumente wesizwe ubhengeze inkqubo entsha yokuphucula ukufikelela kwizibonelelo zoluntu kwiindawo ezisemaphandleni, ejolise ekuncedeni iintsapho ezihlala kude nezixeko ezikhulu. Le nkqubo iza kubandakanya ukwakhiwa kweendawo zokusebenza ezisondeleyo, kunye nokuphuculwa kweendlela zonxibelelwano. Amagosa athi oku kuya kunciphisa umthwalo wokuhamba kwabemi kwaye kuphucule ukufikelela kwiinkonzo ezibalulekileyo. Uluntu lukhuthazwa ukuba luthathe inxaxheba ekubhaliseni iinkqubo ezintsha ukuze kuqinisekiswe ukuba bonke abafanelekileyo bayazuza.",chatgpt-4o,57,machine,2026-05-21T22:14:10.568956,isiXhosa
9,xh,municipal_services,Izibane ezitalatweni kwiindawo ezininzi zaseMthatha sele ziqalisiwe ukulungiswa emva kwezikhalazo zabahlali malunga nokwanda kweengozi ebusuku. Umasipala uthi amaqela asebenzayo asele etshintshe izibane ezindala kwaye afaka ezintsha ezonga amandla. Le projekthi ijolise ekuphuculeni ukhuseleko kunye nokunciphisa ukusetyenziswa kombane ngokungafanelekanga. Abahlali bavakalise ulwaneliseko kwaye bacela ukuba umsebenzi wandiswe nakwezinye iindawo ezingekachaphazeleki. Umasipala uthi uya kuqhubeka nokulandelela imeko ukuze kuqinisekiswe ukuba zonke iindawo zifumana inkonzo efanelekileyo.,chatgpt-4o,63,machine,2026-05-21T22:14:10.568973,isiXhosa
10,xh,civic_affairs,"Ngexesha lentlanganiso yophuhliso lwasekuhlaleni, abahlali kunye namagosa kamasipala bavumelene ngokuseka amaqela asebenzayo ajolise ekuphuculeni iinkonzo zenkunkuma, amanzi, kunye neendlela. Ezi qela ziya kusebenza njengonxibelelwano phakathi koluntu norhulumente ukuze kuqinisekiswe ukuba iingxaki zisonjululwa ngokukhawuleza. Amagosa athi le ndlela iza kunceda ekwandiseni uxanduva kunye nokuphendula ngokukhawuleza kwizikhalazo. Abahlali baceliwe ukuba bathathe inxaxheba ngokuzimisela ukuze kuqinisekiswe impumelelo yale nkqubo yentsebenziswano.",chatgpt-4o,57,machine,2026-05-21T22:14:10.568992,isiXhosa
